"총조사인구 총괄(시도/성/5세연령별)"

"C행정구역별","행정구역별","C연령별","연령별","시점","인구 (명)","남자 (명)","여자 (명)","성비(명) (%)"
'21,"부산광역시",'50,"45 - 49세",2010,293334,139961,153373,91.30
'21,"부산광역시",'55,"50 - 54세",2010,312412,148927,163485,91.10
'21,"부산광역시",'60,"55 - 59세",2010,248722,120219,128503,93.60
'21,"부산광역시",'65,"60 - 64세",2010,192906,93348,99558,93.80
'21,"부산광역시",'70,"65 - 69세",2010,149213,70620,78593,89.90
'21,"부산광역시",'75,"70 - 74세",2010,115192,50461,64731,78.00
'21,"부산광역시",'80,"75 - 79세",2010,72906,27472,45434,60.50
'21,"부산광역시",'85,"80 - 84세",2010,38632,11168,27464,40.70
'21,"부산광역시",'90,"85세이상",2010,21187,4900,16287,30.10
'21,"부산광역시",'96,"15세미만",2010,462551,241610,220941,109.40
'21,"부산광역시",'97,"15 - 64세",2010,2533510,1258447,1275063,98.70
'21,"부산광역시",'98,"65세이상",2010,397130,164621,232509,70.80
'21,"부산광역시",'99,"평균연령",2010,39.7,38.3,41.0,
'21,"부산광역시",'9A,"연령중위수",2010,40.3,38.7,41.8,
'22,"대구광역시",'00,"계",2010,2431774,1204428,1227346,98.10
'22,"대구광역시",'05,"0 - 4세",2010,101667,52769,48898,107.90
'22,"대구광역시",'10,"5 - 9세",2010,118717,62518,56199,111.20
'22,"대구광역시",'15,"10 - 14세",2010,167820,89432,78388,114.10
'22,"대구광역시",'20,"15 - 19세",2010,185952,101944,84008,121.40
'22,"대구광역시",'25,"20 - 24세",2010,162748,90988,71760,126.80
'22,"대구광역시",'30,"25 - 29세",2010,169158,84504,84654,99.80
'22,"대구광역시",'35,"30 - 34세",2010,174275,85967,88308,97.30
'22,"대구광역시",'40,"35 - 39세",2010,201620,97863,103757,94.30
'22,"대구광역시",'45,"40 - 44세",2010,217539,105723,111816,94.60
'22,"대구광역시",'50,"45 - 49세",2010,219070,107258,111812,95.90
'22,"대구광역시",'55,"50 - 54세",2010,200207,98394,101813,96.60
'22,"대구광역시",'60,"55 - 59세",2010,148331,71571,76760,93.20
'22,"대구광역시",'65,"60 - 64세",2010,113154,54023,59131,91.40
'22,"대구광역시",'70,"65 - 69세",2010,89508,40516,48992,82.70
'22,"대구광역시",'75,"70 - 74세",2010,74175,31426,42749,73.50
'22,"대구광역시",'80,"75 - 79세",2010,48893,18491,30402,60.80
'22,"대구광역시",'85,"80 - 84세",2010,24970,7598,17372,43.70
'22,"대구광역시",'90,"85세이상",2010,13970,3443,10527,32.70
'22,"대구광역시",'96,"15세미만",2010,388204,204719,183485,111.60
'22,"대구광역시",'97,"15 - 64세",2010,1792054,898235,893819,100.50
'22,"대구광역시",'98,"65세이상",2010,251516,101474,150042,67.60
'22,"대구광역시",'99,"평균연령",2010,37.9,36.5,39.4,
'22,"대구광역시",'9A,"연령중위수",2010,38.5,36.9,39.9,
'23,"인천광역시",'00,"계",2010,2632035,1315562,1316473,99.90
'23,"인천광역시",'05,"0 - 4세",2010,125447,64454,60993,105.70
'23,"인천광역시",'10,"5 - 9세",2010,133355,68755,64600,106.40
'23,"인천광역시",'15,"10 - 14세",2010,178382,92571,85811,107.90
'23,"인천광역시",'20,"15 - 19세",2010,198204,104048,94156,110.50
'23,"인천광역시",'25,"20 - 24세",2010,173656,91191,82465,110.60
'23,"인천광역시",'30,"25 - 29세",2010,200048,101564,98484,103.10
'23,"인천광역시",'35,"30 - 34세",2010,207697,106099,101598,104.40
'23,"인천광역시",'40,"35 - 39세",2010,232540,117276,115264,101.70
'23,"인천광역시",'45,"40 - 44세",2010,240289,118836,121453,97.80
'23,"인천광역시",'50,"45 - 49세",2010,248709,124696,124013,100.60
'23,"인천광역시",'55,"50 - 54세",2010,217853,110606,107247,103.10
'23,"인천광역시",'60,"55 - 59세",2010,140003,70683,69320,102.00
'23,"인천광역시",'65,"60 - 64세",2010,103653,51458,52195,98.60
'23,"인천광역시",'70,"65 - 69세",2010,79943,37313,42630,87.50
'23,"인천광역시",'75,"70 - 74세",2010,65619,27641,37978,72.80
'23,"인천광역시",'80,"75 - 79세",2010,44994,16478,28516,57.80
'23,"인천광역시",'85,"80 - 84세",2010,25334,7559,17775,42.50
'23,"인천광역시",'90,"85세이상",2010,16309,4334,11975,36.20
'23,"인천광역시",'96,"15세미만",2010,437184,225780,211404,106.80
'23,"인천광역시",'97,"15 - 64세",2010,1962652,996457,966195,103.10
'23,"인천광역시",'98,"65세이상",2010,232199,93325,138874,67.20
'23,"인천광역시",'99,"평균연령",2010,36.9,35.9,37.8,
'23,"인천광역시",'9A,"연령중위수",2010,37.3,36.3,38.1,
'24,"광주광역시",'00,"계",2010,1466143,724161,741982,97.60
'24,"광주광역시",'05,"0 - 4세",2010,73014,37690,35324,106.70
'24,"광주광역시",'10,"5 - 9세",2010,82288,42791,39497,108.30
'24,"광주광역시",'15,"10 - 14세",2010,113885,59228,54657,108.40
'24,"광주광역시",'20,"15 - 19세",2010,120610,62759,57851,108.50
'24,"광주광역시",'25,"20 - 24세",2010,104075,53053,51022,104.00
'24,"광주광역시",'30,"25 - 29세",2010,113039,56666,56373,100.50
'24,"광주광역시",'35,"30 - 34세",2010,114706,56845,57861,98.20
'24,"광주광역시",'40,"35 - 39세",2010,126152,62120,64032,97.00
'24,"광주광역시",'45,"40 - 44세",2010,127527,63159,64368,98.10
'24,"광주광역시",'50,"45 - 49세",2010,118774,59135,59639,99.20
'24,"광주광역시",'55,"50 - 54세",2010,105584,51876,53708,96.60
'24,"광주광역시",'60,"55 - 59세",2010,73008,35647,37361,95.40
'24,"광주광역시",'65,"60 - 64세",2010,60344,28948,31396,92.20
'24,"광주광역시",'70,"65 - 69세",2010,46452,21725,24727,87.90
'24,"광주광역시",'75,"70 - 74세",2010,37519,16175,21344,75.80
'24,"광주광역시",'80,"75 - 79세",2010,25746,9710,16036,60.60
'24,"광주광역시",'85,"80 - 84세",2010,14502,4588,9914,46.30
'24,"광주광역시",'90,"85세이상",2010,8918,2046,6872,29.80
'24,"광주광역시",'96,"15세미만",2010,269187,139709,129478,107.90
'24,"광주광역시",'97,"15 - 64세",2010,1063819,530208,533611,99.40
'24,"광주광역시",'98,"65세이상",2010,133137,54244,78893,68.80
'24,"광주광역시",'99,"평균연령",2010,35.9,34.8,37.0,
'24,"광주광역시",'9A,"연령중위수",2010,35.5,34.4,36.6,
'25,"대전광역시",'00,"계",2010,1490158,745150,745008,100.00
'25,"대전광역시",'05,"0 - 4세",2010,71984,37100,34884,106.40
'25,"대전광역시",'10,"5 - 9세",2010,79733,41387,38346,107.90
'25,"대전광역시",'15,"10 - 14세",2010,104938,54688,50250,108.80
'25,"대전광역시",'20,"15 - 19세",2010,120208,63941,56267,113.60
'25,"대전광역시",'25,"20 - 24세",2010,115453,61781,53672,115.10
'25,"대전광역시",'30,"25 - 29세",2010,114615,58900,55715,105.70
'25,"대전광역시",'35,"30 - 34세",2010,115328,57230,58098,98.50
'25,"대전광역시",'40,"35 - 39세",2010,129017,64155,64862,98.90
'25,"대전광역시",'45,"40 - 44세",2010,129921,64284,65637,97.90
'25,"대전광역시",'50,"45 - 49세",2010,125691,62446,63245,98.70
'25,"대전광역시",'55,"50 - 54세",2010,114889,57176,57713,99.10
'25,"대전광역시",'60,"55 - 59세",2010,79161,39581,39580,100.00
'25,"대전광역시",'65,"60 - 64세",2010,58205,28789,29416,97.90
'25,"대전광역시",'70,"65 - 69세",2010,45104,21049,24055,87.50
'25,"대전광역시",'75,"70 - 74세",2010,36955,15974,20981,76.10
'25,"대전광역시",'80,"75 - 79세",2010,25494,9699,15795,61.40
'25,"대전광역시",'85,"80 - 84세",2010,14406,4563,9843,46.40
'25,"대전광역시",'90,"85세이상",2010,9056,2407,6649,36.20
'25,"대전광역시",'96,"15세미만",2010,256655,133175,123480,107.90
'25,"대전광역시",'97,"15 - 64세",2010,1102488,558283,544205,102.60
'25,"대전광역시",'98,"65세이상",2010,131015,53692,77323,69.40
'25,"대전광역시",'99,"평균연령",2010,36.2,35.1,37.2,
'25,"대전광역시",'9A,"연령중위수",2010,36.0,34.8,37.1,
'26,"울산광역시",'00,"계",2010,1071673,550869,520804,105.80
'26,"울산광역시",'05,"0 - 4세",2010,54555,28391,26164,108.50
'26,"울산광역시",'10,"5 - 9세",2010,57544,30386,27158,111.90
'26,"울산광역시",'15,"10 - 14세",2010,81816,43449,38367,113.20
'26,"울산광역시",'20,"15 - 19세",2010,83401,46769,36632,127.70
'26,"울산광역시",'25,"20 - 24세",2010,59513,34601,24912,138.90
'26,"울산광역시",'30,"25 - 29세",2010,75807,39855,35952,110.90
'26,"울산광역시",'35,"30 - 34세",2010,85342,44349,40993,108.20
'26,"울산광역시",'40,"35 - 39세",2010,95126,47004,48122,97.70
'26,"울산광역시",'45,"40 - 44세",2010,105585,52185,53400,97.70
'26,"울산광역시",'50,"45 - 49세",2010,105437,54554,50883,107.20
'26,"울산광역시",'55,"50 - 54세",2010,91127,46599,44528,104.70
'26,"울산광역시",'60,"55 - 59세",2010,61284,31807,29477,107.90
'26,"울산광역시",'65,"60 - 64세",2010,40023,20867,19156,108.90
'26,"울산광역시",'70,"65 - 69세",2010,27642,13253,14389,92.10
'26,"울산광역시",'75,"70 - 74세",2010,20895,8994,11901,75.60
'26,"울산광역시",'80,"75 - 79세",2010,13799,4841,8958,54.00
'26,"울산광역시",'85,"80 - 84세",2010,7883,2048,5835,35.10
'26,"울산광역시",'90,"85세이상",2010,4894,917,3977,23.10
'26,"울산광역시",'96,"15세미만",2010,193915,102226,91689,111.50
'26,"울산광역시",'97,"15 - 64세",2010,802645,418590,384055,109.00
'26,"울산광역시",'98,"65세이상",2010,75113,30053,45060,66.70
'26,"울산광역시",'99,"평균연령",2010,36.0,35.0,37.1,
'26,"울산광역시",'9A,"연령중위수",2010,37.1,35.9,38.2,
'31,"경기도",'00,"계",2010,11196053,5599570,5596483,100.10
'31,"경기도",'05,"0 - 4세",2010,599224,307459,291765,105.40
'31,"경기도",'10,"5 - 9세",2010,635460,328270,307190,106.90
'31,"경기도",'15,"10 - 14세",2010,797332,413012,384320,107.50
'31,"경기도",'20,"15 - 19세",2010,815660,426147,389513,109.40
'31,"경기도",'25,"20 - 24세",2010,685567,357162,328405,108.80
'31,"경기도",'30,"25 - 29세",2010,821115,416451,404664,102.90
'31,"경기도",'35,"30 - 34세",2010,924453,461923,462530,99.90
'31,"경기도",'40,"35 - 39세",2010,1074259,537506,536753,100.10
'31,"경기도",'45,"40 - 44세",2010,1059502,533139,526363,101.30
'31,"경기도",'50,"45 - 49세",2010,992903,507910,484993,104.70
'31,"경기도",'55,"50 - 54세",2010,837407,429542,407865,105.30
'31,"경기도",'60,"55 - 59세",2010,544701,273813,270888,101.10
'31,"경기도",'65,"60 - 64세",2010,409903,198526,211377,93.90
'31,"경기도",'70,"65 - 69세",2010,340181,155571,184610,84.30
'31,"경기도",'75,"70 - 74세",2010,287751,124663,163088,76.40
'31,"경기도",'80,"75 - 79세",2010,195126,75760,119366,63.50
'31,"경기도",'85,"80 - 84세",2010,106859,34224,72635,47.10
'31,"경기도",'90,"85세이상",2010,68650,18492,50158,36.90
'31,"경기도",'96,"15세미만",2010,2032016,1048741,983275,106.70
'31,"경기도",'97,"15 - 64세",2010,8165470,4142119,4023351,103.00
'31,"경기도",'98,"65세이상",2010,998567,408710,589857,69.30
'31,"경기도",'99,"평균연령",2010,36.2,35.3,37.1,
'31,"경기도",'9A,"연령중위수",2010,36.6,35.9,37.3,
'32,"강원도",'00,"계",2010,1463650,735075,728575,100.90
'32,"강원도",'05,"0 - 4세",2010,61847,31913,29934,106.60
'32,"강원도",'10,"5 - 9세",2010,71908,37512,34396,109.10
'32,"강원도",'15,"10 - 14세",2010,95714,49675,46039,107.90
'32,"강원도",'20,"15 - 19세",2010,102384,55000,47384,116.10
'32,"강원도",'25,"20 - 24세",2010,92984,54670,38314,142.70
'32,"강원도",'30,"25 - 29세",2010,85501,47241,38260,123.50
'32,"강원도",'35,"30 - 34세",2010,91411,46584,44827,103.90
'32,"강원도",'40,"35 - 39세",2010,110150,56133,54017,103.90
'32,"강원도",'45,"40 - 44세",2010,117177,60341,56836,106.20
'32,"강원도",'50,"45 - 49세",2010,121477,61751,59726,103.40
'32,"강원도",'55,"50 - 54세",2010,124021,62321,61700,101.00
'32,"강원도",'60,"55 - 59세",2010,93016,46372,46644,99.40
'32,"강원도",'65,"60 - 64세",2010,69649,33319,36330,91.70
'32,"강원도",'70,"65 - 69세",2010,72062,32575,39487,82.50
'32,"강원도",'75,"70 - 74세",2010,68047,29868,38179,78.20
'32,"강원도",'80,"75 - 79세",2010,44810,17227,27583,62.50
'32,"강원도",'85,"80 - 84세",2010,25239,7894,17345,45.50
'32,"강원도",'90,"85세이상",2010,16253,4679,11574,40.40
'32,"강원도",'96,"15세미만",2010,229469,119100,110369,107.90
'32,"강원도",'97,"15 - 64세",2010,1007770,523732,484038,108.20
'32,"강원도",'98,"65세이상",2010,226411,92243,134168,68.80
'32,"강원도",'99,"평균연령",2010,40.3,38.6,42.0,
'32,"강원도",'9A,"연령중위수",2010,40.8,39.1,42.6,
'33,"충청북도",'00,"계",2010,1495984,748622,747362,100.20
'33,"충청북도",'05,"0 - 4세",2010,69258,35693,33565,106.30
'33,"충청북도",'10,"5 - 9세",2010,75891,39447,36444,108.20
'33,"충청북도",'15,"10 - 14세",2010,101753,53085,48668,109.10
'33,"충청북도",'20,"15 - 19세",2010,110193,59054,51139,115.50
'33,"충청북도",'25,"20 - 24세",2010,96955,53167,43788,121.40
'33,"충청북도",'30,"25 - 29세",2010,99156,52374,46782,112.00
'33,"충청북도",'35,"30 - 34세",2010,102444,52608,49836,105.60
'33,"충청북도",'40,"35 - 39세",2010,116506,59095,57411,102.90
'33,"충청북도",'45,"40 - 44세",2010,123479,62779,60700,103.40
'33,"충청북도",'50,"45 - 49세",2010,123065,63404,59661,106.30
'33,"충청북도",'55,"50 - 54세",2010,117176,59622,57554,103.60
'33,"충청북도",'60,"55 - 59세",2010,87616,43670,43946,99.40
'33,"충청북도",'65,"60 - 64세",2010,64533,31528,33005,95.50
'33,"충청북도",'70,"65 - 69세",2010,62552,28168,34384,81.90
'33,"충청북도",'75,"70 - 74세",2010,61304,26313,34991,75.20
'33,"충청북도",'80,"75 - 79세",2010,44818,16754,28064,59.70
'33,"충청북도",'85,"80 - 84세",2010,24413,7750,16663,46.50
'33,"충청북도",'90,"85세이상",2010,14872,4111,10761,38.20
'33,"충청북도",'96,"15세미만",2010,246902,128225,118677,108.00
'33,"충청북도",'97,"15 - 64세",2010,1041123,537301,503822,106.60
'33,"충청북도",'98,"65세이상",2010,207959,83096,124863,66.50
'33,"충청북도",'99,"평균연령",2010,39.0,37.5,40.5,
'33,"충청북도",'9A,"연령중위수",2010,39.0,37.5,40.5,
'34,"충청남도",'00,"계",2010,2000473,1007454,993019,101.50
'34,"충청남도",'05,"0 - 4세",2010,97608,50210,47398,105.90
'34,"충청남도",'10,"5 - 9세",2010,101178,52389,48789,107.40
'34,"충청남도",'15,"10 - 14세",2010,129040,66920,62120,107.70
'34,"충청남도",'20,"15 - 19세",2010,145024,75768,69256,109.40
'34,"충청남도",'25,"20 - 24세",2010,130476,69426,61050,113.70
'34,"충청남도",'30,"25 - 29세",2010,132577,73891,58686,125.90
'34,"충청남도",'35,"30 - 34세",2010,141500,75275,66225,113.70
'34,"충청남도",'40,"35 - 39세",2010,155044,80945,74099,109.20
'34,"충청남도",'45,"40 - 44세",2010,153553,81092,72461,111.90
'34,"충청남도",'50,"45 - 49세",2010,153480,80885,72595,111.40
'34,"충청남도",'55,"50 - 54세",2010,143493,73372,70121,104.60
'34,"충청남도",'60,"55 - 59세",2010,110994,55044,55950,98.40
'34,"충청남도",'65,"60 - 64세",2010,96025,47139,48886,96.40
'34,"충청남도",'70,"65 - 69세",2010,87876,39386,48490,81.20
'34,"충청남도",'75,"70 - 74세",2010,90300,38326,51974,73.70
'34,"충청남도",'80,"75 - 79세",2010,71286,28147,43139,65.20
'34,"충청남도",'85,"80 - 84세",2010,37794,12791,25003,51.20
'34,"충청남도",'90,"85세이상",2010,23225,6448,16777,38.40
'34,"충청남도",'96,"15세미만",2010,327826,169519,158307,107.10
'34,"충청남도",'97,"15 - 64세",2010,1362166,712837,649329,109.80
'34,"충청남도",'98,"65세이상",2010,310481,125098,185383,67.50
'34,"충청남도",'99,"평균연령",2010,39.5,38.0,41.1,
'34,"충청남도",'9A,"연령중위수",2010,39.0,37.6,40.6,
'35,"전라북도",'00,"계",2010,1766044,867630,898414,96.60
'35,"전라북도",'05,"0 - 4세",2010,77197,39946,37251,107.20
'35,"전라북도",'10,"5 - 9세",2010,89553,46303,43250,107.10
'35,"전라북도",'15,"10 - 14세",2010,121992,63081,58911,107.10
'35,"전라북도",'20,"15 - 19세",2010,130831,69635,61196,113.80
'35,"전라북도",'25,"20 - 24세",2010,104713,58354,46359,125.90
'35,"전라북도",'30,"25 - 29세",2010,102874,53760,49114,109.50
'35,"전라북도",'35,"30 - 34세",2010,109492,55153,54339,101.50
'35,"전라북도",'40,"35 - 39세",2010,131138,65972,65166,101.20
'35,"전라북도",'45,"40 - 44세",2010,135282,68929,66353,103.90
'35,"전라북도",'50,"45 - 49세",2010,136916,69078,67838,101.80
'35,"전라북도",'55,"50 - 54세",2010,133760,66229,67531,98.10
'35,"전라북도",'60,"55 - 59세",2010,104671,51208,53463,95.80
'35,"전라북도",'65,"60 - 64세",2010,98041,47024,51017,92.20
'35,"전라북도",'70,"65 - 69세",2010,84196,37276,46920,79.40
'35,"전라북도",'75,"70 - 74세",2010,82727,34173,48554,70.40
'35,"전라북도",'80,"75 - 79세",2010,64990,24272,40718,59.60
'35,"전라북도",'85,"80 - 84세",2010,36338,11746,24592,47.80
'35,"전라북도",'90,"85세이상",2010,21333,5491,15842,34.70
'35,"전라북도",'96,"15세미만",2010,288742,149330,139412,107.10
'35,"전라북도",'97,"15 - 64세",2010,1187718,605342,582376,103.90
'35,"전라북도",'98,"65세이상",2010,289584,112958,176626,64.00
'35,"전라북도",'99,"평균연령",2010,40.4,38.5,42.2,
'35,"전라북도",'9A,"연령중위수",2010,40.5,38.7,42.4,
'36,"전라남도",'00,"계",2010,1728749,845952,882797,95.80
